data,regiao,id_cliente,nome_cliente,produto,categoria,valor,renda_mensal
2024-01-05,Centro-Oeste,55,Cliente 055,Produto_11,Higiene,18.93,4868.09
2024-01-05,Sul,2,Cliente 002,Produto_09,Higiene,43.85,1964.53
2024-01-05,Sul,4,Cliente 004,Produto_05,Alimentos,238.28,3257.27
2024-01-05,Norte,82,Cliente 082,Produto_08,Alimentos,179.54,3632.77
2024-01-05,Sul,4,Cliente 004,Produto_14,Limpeza,140.29,3257.27
2024-01-05,Sul,2,Cliente 002,Produto_06,Alimentos,72.8,1964.53
2024-01-05,Sudeste,1,Cliente 001,Produto_13,Limpeza,81.15,2672.38
2024-01-05,Sudeste,17,Cliente 017,Produto_01,Bebidas,31.43,2200.5
2024-01-05,Norte,46,Cliente 046,Produto_10,Higiene,49.18,3120.34
2024-01-05,Sul,13,Cliente 013,Produto_08,Alimentos,158.44,3118.4
2024-01-05,Centro-Oeste,26,Cliente 026,Produto_11,Higiene,179.78,3130.59
2024-01-05,Nordeste,6,Cliente 006,Produto_02,Bebidas,212.0,1648.8
2024-01-05,Norte,39,Cliente 039,Produto_13,Limpeza,51.78,4429.44
2024-01-05,Centro-Oeste,8,Cliente 008,Produto_14,Limpeza,121.52,3192.19
2024-01-05,Norte,71,Cliente 071,Produto_06,Alimentos,143.37,1192.59
2024-01-05,Sudeste,53,Cliente 053,Produto_14,Limpeza,77.68,1047.69
2024-01-05,Sudeste,1,Cliente 001,Produto_02,Bebidas,83.07,2672.38
2024-01-05,Sul,97,Cliente 097,Produto_09,Higiene,180.14,2878.73
2024-01-05,Centro-Oeste,3,Cliente 003,Produto_05,Alimentos,133.38,2098.28
2024-01-05,Nordeste,104,Cliente 104,Produto_14,Limpeza,149.08,766.96
2024-01-05,Sudeste,80,Cliente 080,Produto_06,Alimentos,210.99,5146.29
2024-01-05,Nordeste,58,Cliente 058,Produto_11,Higiene,156.77,1306.03
2024-01-05,Sudeste,43,Cliente 043,Produto_05,Alimentos,197.64,3037.79
2024-01-05,Centro-Oeste,118,Cliente 118,Produto_13,Limpeza,166.62,3505.88
2024-01-05,Sudeste,32,Cliente 032,Produto_13,Limpeza,116.78,1555.9
2024-01-05,Centro-Oeste,107,Cliente 107,Produto_09,Higiene,123.15,5079.71
2024-01-05,Sudeste,23,Cliente 023,Produto_10,Higiene,143.82,2618.46
2024-01-05,Nordeste,45,Cliente 045,Produto_04,Bebidas,137.31,3653.07
2024-01-05,Sudeste,17,Cliente 017,Produto_04,Bebidas,173.12,2200.5
2024-01-05,Sul,2,Cliente 002,Produto_05,Alimentos,125.63,1964.53
2024-01-05,Sul,97,Cliente 097,Produto_14,Limpeza,47.21,2878.73
2024-01-05,Sul,5,Cliente 005,Produto_11,Higiene,135.13,1238.45
2024-01-05,Sudeste,101,Cliente 101,Produto_01,Bebidas,118.9,4579.22
2024-01-05,Sul,73,Cliente 073,Produto_06,Alimentos,109.66,2937.93
2024-01-06,Norte,100,Cliente 100,Produto_04,Bebidas,175.09,3610.95
2024-01-06,Centro-Oeste,94,Cliente 094,Produto_09,Higiene,5.66,2589.29
2024-01-06,Norte,88,Cliente 088,Produto_03,Bebidas,63.73,10194.8
2024-01-06,Centro-Oeste,37,Cliente 037,Produto_12,Limpeza,52.46,1269.3
2024-01-06,Centro-Oeste,3,Cliente 003,Produto_11,Higiene,177.37,2098.28
2024-01-06,Centro-Oeste,109,Cliente 109,Produto_03,Bebidas,143.62,1364.75
2024-01-06,Centro-Oeste,110,Cliente 110,Produto_07,Alimentos,77.0,3461.7
2024-01-06,Nordeste,47,Cliente 047,Produto_04,Bebidas,144.03,1400.82
2024-01-06,Sudeste,17,Cliente 017,Produto_07,Alimentos,50.91,2200.5
2024-01-06,Norte,39,Cliente 039,Produto_03,Bebidas,161.59,4429.44
2024-01-06,Sudeste,89,Cliente 089,Produto_12,Limpeza,167.16,347.23
2024-01-06,Centro-Oeste,55,Cliente 055,Produto_11,Higiene,161.31,4868.09
2024-01-06,Norte,71,Cliente 071,Produto_07,Alimentos,95.85,1192.59
2024-01-06,Sudeste,43,Cliente 043,Produto_04,Bebidas,210.04,3037.79
2024-01-06,Sudeste,57,Cliente 057,Produto_12,Limpeza,44.14,2054.28
2024-01-06,Centro-Oeste,91,Cliente 091,Produto_08,Alimentos,10.34,5257.22
2024-01-06,Norte,87,Cliente 087,Produto_08,Alimentos,125.74,2068.87
2024-01-06,Nordeste,104,Cliente 104,Produto_06,Alimentos,61.14,766.96
2024-01-06,Sudeste,78,Cliente 078,Produto_08,Alimentos,29.16,875.58
2024-01-06,Sudeste,59,Cliente 059,Produto_04,Bebidas,84.5,2353.65
2024-01-06,Sul,48,Cliente 048,Produto_08,Alimentos,221.73,2977.27
2024-01-06,Sudeste,23,Cliente 023,Produto_05,Alimentos,107.06,2618.46
2024-01-06,Sudeste,57,Cliente 057,Produto_08,Alimentos,59.17,2054.28
2024-01-06,Sul,84,Cliente 084,Produto_05,Alimentos,44.75,4839.84
2024-01-06,Nordeste,44,Cliente 044,Produto_14,Limpeza,213.56,4340.18
2024-01-06,Centro-Oeste,107,Cliente 107,Produto_10,Higiene,177.28,5079.71
2024-01-06,Nordeste,65,Cliente 065,Produto_02,Bebidas,152.76,946.78
2024-01-06,Sudeste,53,Cliente 053,Produto_08,Alimentos,77.74,1047.69
2024-01-06,Centro-Oeste,9,Cliente 009,Produto_11,Higiene,117.8,2692.74
2024-01-06,Sul,113,Cliente 113,Produto_04,Bebidas,163.68,7180.73
2024-01-06,Centro-Oeste,27,Cliente 027,Produto_06,Alimentos,67.8,5430.32
2024-01-07,Sudeste,80,Cliente 080,Produto_03,Bebidas,91.85,5146.29
2024-01-07,Centro-Oeste,35,Cliente 035,Produto_13,Limpeza,206.53,1108.77
2024-01-07,Nordeste,67,Cliente 067,Produto_05,Alimentos,241.56,2091.75
2024-01-07,Sul,81,Cliente 081,Produto_05,Alimentos,134.77,3635.87
2024-01-07,Centro-Oeste,91,Cliente 091,Produto_10,Higiene,92.76,5257.22
2024-01-07,Norte,82,Cliente 082,Produto_12,Limpeza,90.35,3632.77
2024-01-07,Sul,48,Cliente 048,Produto_02,Bebidas,105.29,2977.27
2024-01-07,Sudeste,51,Cliente 051,Produto_13,Limpeza,53.72,8133.11
2024-01-07,Nordeste,64,Cliente 064,Produto_06,Alimentos,85.21,1180.38
2024-01-07,Nordeste,60,Cliente 060,Produto_09,Higiene,144.33,3220.54
2024-01-07,Sul,116,Cliente 116,Produto_06,Alimentos,108.87,622.92
2024-01-07,Sudeste,52,Cliente 052,Produto_14,Limpeza,195.63,3534.41
2024-01-07,Centro-Oeste,93,Cliente 093,Produto_13,Limpeza,208.91,4060.47
2024-01-07,Nordeste,6,Cliente 006,Produto_02,Bebidas,90.14,1648.8
2024-01-07,Sul,83,Cliente 083,Produto_04,Bebidas,90.17,3635.9
2024-01-07,Nordeste,61,Cliente 061,Produto_05,Alimentos,6.51,2525.26
2024-01-07,Sul,81,Cliente 081,Produto_05,Alimentos,152.34,3635.87
2024-01-07,Centro-Oeste,109,Cliente 109,Produto_10,Higiene,133.17,1364.75
2024-01-07,Nordeste,104,Cliente 104,Produto_07,Alimentos,83.65,766.96
2024-01-07,Norte,100,Cliente 100,Produto_05,Alimentos,54.31,3610.95
2024-01-07,Centro-Oeste,7,Cliente 007,Produto_12,Limpeza,147.18,4724.66
2024-01-07,Nordeste,98,Cliente 098,Produto_04,Bebidas,242.26,1257.91
2024-01-07,Sudeste,52,Cliente 052,Produto_10,Higiene,56.07,3534.41
2024-01-07,Centro-Oeste,112,Cliente 112,Produto_04,Bebidas,35.39,994.71
2024-01-07,Norte,25,Cliente 025,Produto_09,Higiene,91.3,2145.69
2024-01-07,Sul,48,Cliente 048,Produto_05,Alimentos,164.56,2977.27
2024-01-07,Sul,84,Cliente 084,Produto_13,Limpeza,177.57,4839.84
2024-01-07,Nordeste,64,Cliente 064,Produto_07,Alimentos,36.73,1180.38
2024-01-07,Centro-Oeste,7,Cliente 007,Produto_13,Limpeza,173.51,4724.66
2024-01-07,Norte,56,Cliente 056,Produto_05,Alimentos,144.13,3387.57
2024-01-07,Sul,116,Cliente 116,Produto_14,Limpeza,183.27,622.92
2024-01-07,Nordeste,47,Cliente 047,Produto_04,Bebidas,216.67,1400.82
2024-01-07,Sudeste,59,Cliente 059,Produto_05,Alimentos,52.89,2353.65
2024-01-07,Centro-Oeste,35,Cliente 035,Produto_12,Limpeza,116.58,1108.77
2024-01-07,Sudeste,43,Cliente 043,Produto_06,Alimentos,100.45,3037.79
2024-01-07,Centro-Oeste,118,Cliente 118,Produto_14,Limpeza,36.19,3505.88
2024-01-07,Sudeste,78,Cliente 078,Produto_13,Limpeza,145.16,875.58
2024-01-07,Sudeste,51,Cliente 051,Produto_02,Bebidas,90.57,8133.11
2024-01-07,Centro-Oeste,109,Cliente 109,Produto_14,Limpeza,111.52,1364.75
2024-01-08,Sudeste,41,Cliente 041,Produto_12,Limpeza,52.85,500.37
2024-01-08,Sul,116,Cliente 116,Produto_11,Higiene,187.72,622.92
2024-01-08,Nordeste,14,Cliente 014,Produto_11,Higiene,177.33,3040.37
2024-01-08,Norte,42,Cliente 042,Produto_08,Alimentos,133.47,2874.86
2024-01-08,Sudeste,15,Cliente 015,Produto_01,Bebidas,76.33,638.77
2024-01-08,Nordeste,6,Cliente 006,Produto_06,Alimentos,73.65,1648.8
2024-01-08,Nordeste,16,Cliente 016,Produto_02,Bebidas,208.79,1770.69
2024-01-08,Norte,71,Cliente 071,Produto_08,Alimentos,84.76,1192.59
2024-01-08,Norte,87,Cliente 087,Produto_05,Alimentos,155.02,2068.87
2024-01-08,Centro-Oeste,55,Cliente 055,Produto_08,Alimentos,25.63,4868.09
2024-01-08,Sul,36,Cliente 036,Produto_04,Bebidas,174.14,6862.81
2024-01-08,Norte,19,Cliente 019,Produto_07,Alimentos,127.72,3032.65
2024-01-08,Nordeste,68,Cliente 068,Produto_14,Limpeza,82.19,4153.22
2024-01-08,Sudeste,101,Cliente 101,Produto_05,Alimentos,47.17,4579.22
2024-01-08,Centro-Oeste,7,Cliente 007,Produto_06,Alimentos,179.42,4724.66
2024-01-08,Nordeste,40,Cliente 040,Produto_04,Bebidas,63.6,793.71
2024-01-08,Centro-Oeste,26,Cliente 026,Produto_06,Alimentos,136.06,3130.59
2024-01-08,Sul,13,Cliente 013,Produto_07,Alimentos,163.66,3118.4
2024-01-08,Sudeste,80,Cliente 080,Produto_02,Bebidas,85.61,5146.29
2024-01-08,Nordeste,120,Cliente 120,Produto_05,Alimentos,87.83,1825.61
2024-01-08,Norte,24,Cliente 024,Produto_04,Bebidas,185.46,10947.0
2024-01-08,Norte,111,Cliente 111,Produto_05,Alimentos,66.41,4320.1
2024-01-08,Nordeste,120,Cliente 120,Produto_04,Bebidas,11.96,1825.61
2024-01-08,Sudeste,43,Cliente 043,Produto_12,Limpeza,255.76,3037.79
2024-01-08,Norte,100,Cliente 100,Produto_09,Higiene,100.93,3610.95
2024-01-08,Norte,46,Cliente 046,Produto_01,Bebidas,5.44,3120.34
2024-01-08,Centro-Oeste,35,Cliente 035,Produto_01,Bebidas,140.03,1108.77
2024-01-08,Norte,111,Cliente 111,Produto_14,Limpeza,138.27,4320.1
2024-01-08,Nordeste,61,Cliente 061,Produto_10,Higiene,55.36,2525.26
2024-01-08,Sul,54,Cliente 054,Produto_02,Bebidas,179.76,4354.92
2024-01-08,Norte,34,Cliente 034,Produto_04,Bebidas,71.3,2635.14
2024-01-08,Sudeste,15,Cliente 015,Produto_06,Alimentos,163.81,638.77
2024-01-08,Sul,116,Cliente 116,Produto_11,Higiene,126.76,622.92
2024-01-08,Sul,75,Cliente 075,Produto_09,Higiene,5.0,1149.31
2024-01-08,Centro-Oeste,93,Cliente 093,Produto_10,Higiene,95.56,4060.47
2024-01-08,Norte,19,Cliente 019,Produto_03,Bebidas,231.71,3032.65
2024-01-08,Sudeste,53,Cliente 053,Produto_10,Higiene,111.18,1047.69
2024-01-08,Norte,39,Cliente 039,Produto_01,Bebidas,93.08,4429.44
2024-01-08,Sudeste,41,Cliente 041,Produto_10,Higiene,216.46,500.37
2024-01-08,Sul,81,Cliente 081,Produto_10,Higiene,137.49,3635.87
2024-01-08,Sul,48,Cliente 048,Produto_10,Higiene,195.31,2977.27
2024-01-08,Sudeste,78,Cliente 078,Produto_14,Limpeza,140.3,875.58
2024-01-08,Nordeste,65,Cliente 065,Produto_12,Limpeza,165.45,946.78
2024-01-08,Norte,85,Cliente 085,Produto_02,Bebidas,115.44,3985.46
2024-01-08,Centro-Oeste,118,Cliente 118,Produto_07,Alimentos,25.26,3505.88
2024-01-08,Sudeste,33,Cliente 033,Produto_02,Bebidas,5.0,538.98
2024-01-08,Norte,111,Cliente 111,Produto_11,Higiene,159.78,4320.1
2024-01-08,Centro-Oeste,90,Cliente 090,Produto_06,Alimentos,164.14,1692.94
2024-01-08,Norte,34,Cliente 034,Produto_09,Higiene,259.43,2635.14
2024-01-08,Sul,81,Cliente 081,Produto_05,Alimentos,87.33,3635.87
2024-01-08,Sudeste,103,Cliente 103,Produto_12,Limpeza,143.46,1436.25
2024-01-08,Sul,48,Cliente 048,Produto_04,Bebidas,53.36,2977.27
2024-01-08,Norte,82,Cliente 082,Produto_02,Bebidas,145.87,3632.77
2024-01-08,Centro-Oeste,27,Cliente 027,Produto_08,Alimentos,152.99,5430.32
2024-01-08,Sul,18,Cliente 018,Produto_08,Alimentos,133.3,3366.91
2024-01-08,Sul,84,Cliente 084,Produto_14,Limpeza,129.63,4839.84
2024-01-08,Sudeste,50,Cliente 050,Produto_06,Alimentos,66.41,1356.13
2024-01-09,Centro-Oeste,55,Cliente 055,Produto_02,Bebidas,245.21,4868.09
2024-01-09,Sul,38,Cliente 038,Produto_04,Bebidas,10.7,1926.75
2024-01-09,Sudeste,30,Cliente 030,Produto_07,Alimentos,165.26,649.37
2024-01-09,Sudeste,52,Cliente 052,Produto_05,Alimentos,78.85,3534.41
2024-01-09,Sudeste,52,Cliente 052,Produto_09,Higiene,107.68,3534.41
2024-01-09,Centro-Oeste,93,Cliente 093,Produto_04,Bebidas,181.73,4060.47
2024-01-09,Norte,85,Cliente 085,Produto_04,Bebidas,188.32,3985.46
2024-01-09,Sul,36,Cliente 036,Produto_05,Alimentos,23.83,6862.81
2024-01-09,Nordeste,6,Cliente 006,Produto_05,Alimentos,92.33,1648.8
2024-01-09,Norte,56,Cliente 056,Produto_06,Alimentos,146.72,3387.57
2024-01-09,Centro-Oeste,112,Cliente 112,Produto_07,Alimentos,89.17,994.71
2024-01-09,Sudeste,62,Cliente 062,Produto_14,Limpeza,140.96,6503.29
2024-01-09,Sudeste,52,Cliente 052,Produto_05,Alimentos,237.65,3534.41
2024-01-09,Centro-Oeste,94,Cliente 094,Produto_03,Bebidas,157.13,2589.29
2024-01-09,Centro-Oeste,35,Cliente 035,Produto_07,Alimentos,82.93,1108.77
